Categories,Calm,Under 2km/h, 02 to 05km/h, 05 to  10km/h,10 to 15km/h,15 to 20km/h,20 to 30km/h,Over  30km/h
N,4.4,6.96,0.0,0.0,0.0,0.0,0.0,0.0
NNE,4.4,28.94,0.0,0.0,0.0,0.0,0.0,0.0
NE,4.4,23.08,0.0,0.0,0.0,0.0,0.0,0.0
ENE,4.4,6.59,0.0,0.0,0.0,0.0,0.0,0.0
E,4.4,8.06,0.0,0.0,0.0,0.0,0.0,0.0
ESE,4.4,7.69,0.0,0.0,0.0,0.0,0.0,0.0
SE,4.4,3.3,0.0,0.0,0.0,0.0,0.0,0.0
SSE,4.4,6.96,0.0,0.0,0.0,0.0,0.0,0.0
S,4.4,0.73,0.0,0.0,0.0,0.0,0.0,0.0
SSW,4.4,0.37,0.0,0.0,0.0,0.0,0.0,0.0
SW,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSW,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WNW,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNW,4.4,2.93,0.0,0.0,0.0,0.0,0.0,0.0
